STATION_ID,CITY,COUNTRY,COUNTRY_ISO,CODEN,LATITUDE,LONGITUDE,ELEVATION,Year,Season,AVG_PRCP,AVG_TAVG,AVG_TMAX,AVG_TMIN
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1960,Winter,3.81,12.1,17.67,6.61
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1961,Fall,2.49,20.64,22.68,10.82
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1961,Spring,0.46,22.27,24.68,11.74
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1961,Summer,0.09,29.43,30.82,18.48
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1961,Winter,2.23,14.05,17.74,5.8
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1962,Fall,3.09,21.35,21.37,10.17
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1962,Spring,2.41,25.06,22.5,11.72
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1962,Summer,0.07,35.01,30.72,17.79
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1962,Winter,3.7,16.06,16.84,6.6
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1963,Fall,1.43,28.85,23.54,10.62
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1963,Spring,0.86,27.0,21.77,10.46
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1963,Summer,0.67,39.42,30.07,18.71
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1963,Winter,4.2,19.97,16.65,6.64
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1964,Fall,3.71,19.56,21.81,9.93
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1964,Spring,1.36,29.12,23.61,11.02
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1964,Summer,0.12,39.32,30.49,17.66
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1964,Winter,2.2,19.76,17.35,6.35
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1965,Fall,2.27,17.72,22.93,12.25
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1965,Spring,0.72,19.23,23.59,9.33
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1965,Summer,0.14,27.19,30.38,17.71
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1965,Winter,2.98,11.71,15.89,6.17
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1966,Fall,2.9,15.04,20.9,10.13
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1966,Spring,1.64,17.28,22.6,11.86
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1966,Summer,0.13,23.78,29.61,17.56
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1966,Winter,1.79,12.0,18.64,6.34
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1967,Fall,3.97,17.29,23.2,12.19
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1967,Spring,1.9,16.51,22.11,10.86
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1967,Summer,0.06,24.51,31.14,18.39
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1967,Winter,2.55,11.17,17.31,6.0
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1968,Fall,2.75,29.06,23.39,11.35
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1968,Spring,1.09,29.03,23.06,11.92
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1968,Summer,0.06,39.18,30.25,17.86
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1968,Winter,2.48,20.13,16.92,6.42
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1969,Fall,4.86,26.59,20.65,11.89
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1969,Spring,2.0,27.94,22.31,11.25
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1969,Summer,0.5,37.59,28.86,17.47
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1969,Winter,3.72,20.81,17.07,7.48
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1970,Fall,3.67,27.4,22.45,9.89
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1970,Spring,2.03,27.78,22.49,10.59
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1970,Summer,0.16,39.61,30.4,18.42
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1970,Winter,2.06,20.55,17.29,6.52
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1971,Fall,3.99,26.73,21.14,11.16
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1971,Spring,1.28,26.95,21.57,10.75
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1971,Summer,0.05,40.47,31.24,18.46
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1971,Winter,2.5,18.8,16.16,5.29
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1972,Fall,3.11,27.61,21.91,11.42
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1972,Spring,2.54,25.76,20.48,10.57
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1972,Summer,0.78,36.07,27.6,16.93
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1972,Winter,4.86,20.09,16.25,7.68
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1973,Fall,4.05,15.25,21.11,10.52
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1973,Spring,1.92,16.35,21.79,11.34
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1973,Summer,0.17,24.1,29.77,19.31
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1973,Winter,6.76,10.22,14.95,5.75
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1974,Fall,3.43,14.84,20.85,9.35
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1974,Spring,2.52,16.68,22.09,11.81
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1974,Summer,0.03,24.16,30.22,17.8
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1974,Winter,2.62,11.1,17.0,5.93
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1975,Fall,3.43,15.68,21.8,10.51
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1975,Spring,1.79,15.73,21.05,10.11
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1975,Summer,0.47,24.42,30.71,18.77
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1975,Winter,2.13,10.7,16.92,5.54
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1976,Fall,2.38,15.89,21.33,10.89
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1976,Spring,1.1,16.17,21.62,10.73
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1976,Summer,0.76,23.88,29.83,18.06
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1976,Winter,4.11,10.46,15.83,5.77
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1977,Fall,2.36,17.31,23.28,11.85
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1977,Spring,1.85,16.24,22.67,9.29
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1977,Summer,0.18,22.43,28.2,16.74
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1977,Winter,1.06,12.46,18.83,6.75
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1978,Fall,2.41,15.11,21.78,9.3
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1978,Spring,3.11,16.13,21.69,10.68
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1978,Summer,0.02,23.27,30.12,16.57
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1978,Winter,2.33,11.93,17.84,6.56
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1979,Fall,3.92,14.99,21.06,9.85
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1979,Spring,0.75,16.31,22.23,10.36
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1979,Summer,0.5,24.07,30.31,18.56
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1979,Winter,3.63,12.54,17.67,7.52
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1980,Fall,3.14,15.75,21.77,10.76
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1980,Spring,1.95,16.24,21.92,10.32
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1980,Summer,0.07,23.46,30.12,17.19
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1980,Winter,2.83,11.32,17.05,6.49
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1981,Fall,1.52,17.31,23.7,11.56
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1981,Spring,1.12,17.31,22.59,12.23
